type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Townhouse End Unit,One story,Excellent,Average,2005,Hip,Standard (Composite) Shingle,Metal Siding,246,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1153,408,1561,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1561,0,1561,1,2,2,1,Excellent,6,Typical Functionality,1,Good,Attached to the home,Finished,2,556,Average/Typical,Paved,203,47,No,No,No,Aug,2007,Warranty Deed - Conventional,Normal Sale,277500
2-STORY 1946 & NEWER,Residential Low-Density,108,13418,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Single-family Detached,Two-story,Very Good,Average,2004&2005,Gable,Standard (Composite) Shingle,Vinyl Siding,132,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1117,1117,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1132,1320,2452,0,3,4,1,Good,9,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,3,691,Average/Typical,Paved,113,32,No,No,No,Sep,2006,Warranty Deed - Conventional,Normal Sale,309000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Average,Average,1994&1995,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1097,1097,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1097,0,1097,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Unfinished,2,672,Average/Typical,Paved,392,64,No,No,No,Jun,2009,Warranty Deed - Conventional,Normal Sale,145000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1954&1990,Hip,Standard (Composite) Shingle,Wood Siding,650,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,1213,84,1297,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1297,0,1297,0,1,3,1,Average/Typical,5,Typical Functionality,1,Average,Attached to the home,Finished,2,498,Average/Typical,Paved,0,0,No,No,No,Oct,2009,Warranty Deed - Conventional,Normal Sale,153000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Good,1953&2007,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,731,326,1057,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1057,0,1057,1,1,3,1,Good,5,Typical Functionality,0,No,Detached from home,Unfinished,1,246,Average/Typical,Paved,0,52,No,No,No,Jan,2010,Warranty Deed - Conventional,Abnormal Sale,109000
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,6040,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Duplex,One story,Below Average,Average,1955,Gable,Standard (Composite) Shingle,Asbestos Shingles,0,Average/Typical,Poured Concrete,No,No,No Exposure,No,0,0,0,Gas forced warm air furnace,Average/Typical,No,60 AMP Fuse Box and mostly knob & tube wiring (Poor),1152,0,1152,0,2,2,2,Fair,6,Typical Functionality,0,No,No,No,0,0,No,Dirt/Gravel,0,0,No,No,No,Jun,2008,Warranty Deed - Conventional,Adjoining Land Purchase,82000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1965,Gable,Standard (Composite) Shingle,Wood Siding,101,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Unfinished,643,445,1088,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1324,0,1324,0,2,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,440,Average/Typical,Paved,0,138,No,Good Wood,No,Dec,2006,Warranty Deed - Conventional,Abnormal Sale,160000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,115,16905,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Single-family Detached,One story,Average,Above Average,1959,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters&Unfinished,967,383,1350,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1328,0,1328,0,1,2,1,Average/Typical,5,Typical Functionality,2,Good,Attached to the home,Rough Finished,1,308,Average/Typical,Partial Pavement,0,104,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,170000
SPLIT FOYER,Residential Low-Density,0,9180,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer West,Normal,Single-family Detached,Split Foyer,Average,Good,1983,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Low Quality,747,0,840,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,884,0,884,1,1,2,1,Good,5,Typical Functionality,0,No,Attached to the home,Rough Finished,2,504,Average/Typical&Good,Paved,240,0,No,Minimum Privacy,No,Dec,2007,Warranty Deed - Conventional,Normal Sale,144000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9200,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Single-family Detached,One story,Average,Above Average,1975&1980,Hip,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Low Quality&Below Average Living Quarters,280,167,938,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,938,0,938,1,1,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,308,Average/Typical,Paved,145,0,No,Minimum Privacy,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,130250
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7945,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Above Average,1959,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Below Average Living Quarters,179,465,1150,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1150,0,1150,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Rough Finished,1,300,Average/Typical,Paved,0,0,No,No,No,May,2006,Warranty Deed - Conventional,Normal Sale,141000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,61,7658,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Townhouse End Unit,One story,Excellent,Average,2005,Hip,Standard (Composite) Shingle,Metal Siding,412,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,456,1296,1752,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1752,0,1752,1,2,2,1,Excellent,6,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,576,Average/Typical,Paved,196,82,No,No,No,Feb,2010,Warranty Deed - Conventional,Normal Sale,319900
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,48,12822,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1351,83,1434,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1518,631,2149,1,1,1,1,Good,6,Typical Functionality,1,Excellent,Attached to the home,Rough Finished,2,670,Average/Typical,Paved,168,43,No,No,No,Aug,2009,Warranty Deed - Conventional,Abnormal Sale,239686
1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,11096,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,One story,Very Good,Average,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,24,1632,1656,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1656,0,1656,0,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Rough Finished,3,826,Average/Typical,Paved,0,146,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,249700
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,33,4456,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,2fmCon,Two-story,Below Average,Average,1920&2008,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,736,736,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,736,716,1452,0,2,2,3,Average/Typical,8,Typical Functionality,0,No,No,No,0,0,No,Dirt/Gravel,0,0,No,No,No,Jun,2009,Home just constructed and sold,Home was not completed when last assessed,113000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,7742,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Good,1966,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,763,192,955,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,955,0,955,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Unfinished,1,386,Average/Typical,Paved,0,0,No,Minimum Privacy,No,Jan,2007,Warranty Deed - Conventional,Normal Sale,127000
2-STORY 1946 & NEWER,Residential Low-Density,0,13869,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Above Average,Above Average,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,182,612,794,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,794,676,1470,0,2,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Finished,2,388,Average/Typical,Paved,0,75,No,No,No,Jul,2007,Warranty Deed - Conventional,Normal Sale,177000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52,6240,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,1934&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,816,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,816,0,1176,0,1,3,1,Average/Typical,6,Typical Functionality,1,Good,Detached from home,Unfinished,2,528,Average/Typical,Paved,112,0,No,Minimum Privacy,Shed (over 100 SF),Sep,2006,Warranty Deed - Conventional,Normal Sale,114500
DUPLEX - ALL STYLES AND AGES,Residential Medium Density,110,8472,Gravel,No alley access,Moderately Irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Corner lot,Moderate Slope,Iowa DOT and Rail Road,Within 200 of North-South Railroad&Normal,Duplex,One story,Average,Average,1963,Gable,Standard (Composite) Shingle,Wood Siding,0,Fair&Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Low Quality&Good Living Quarters,104,0,816,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,816,0,816,1,1,2,1,Average/Typical,5,Typical Functionality,0,No,Car Port,Unfinished,2,516,Average/Typical,Paved,106,0,No,No,No,May,2010,Warranty Deed - Conventional,Normal Sale,110000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,50271,Paved,No alley access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Veenker,Normal,Single-family Detached,One story,Excellent,Average,1981&1987,Gable,Wood Shingles,Wood Shingles,0,Good&Average/Typical,Cinder Block,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,1810,32,1842,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1842,0,1842,2,0,0,1,Good,5,Typical Functionality,1,Good,Attached to the home,Finished,3,894,Average/Typical,Paved,857,72,No,No,No,Nov,2006,Warranty Deed - Conventional,Normal Sale,385000
SPLIT OR MULTI-LEVEL,Residential Low-Density,60,7134,Paved,No alley access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,NAmes,Normal,Single-family Detached,Split Level,Average,Average,1955,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,384,0,384,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1360,0,1360,0,1,3,1,Average/Typical,6,Minor Deductions 1,1,Average,Detached from home,Unfinished,2,572,Average/Typical,Paved,0,50,No,Minimum Privacy,No,Feb,2007,Warranty Deed - Conventional,Normal Sale,130000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,10175,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Average,1964,Gable,Standard (Composite) Shingle,Hard Board,272,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,490,935,1425,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1425,0,1425,0,2,3,1,Average/Typical,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,576,Average/Typical,Paved,0,0,No,No,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,180500
2-STORY PUD - 1946 & NEWER,Floating Village Residential,24,2645,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Twnhs,Two-story,Very Good,Average,1999&2000,Gable,Standard (Composite) Shingle,Metal Siding,456,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,649,321,970,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,983,756,1739,1,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Finished,2,480,Average/Typical,Paved,115,0,No,No,No,Aug,2009,Warranty Deed - Conventional,Abnormal Sale,172500
2-STORY 1946 & NEWER,Residential Low-Density,89,11645,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,860,860,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,860,860,1720,0,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Rough Finished,2,565,Average/Typical,Paved,0,70,No,No,No,Aug,2006,Warranty Deed - Conventional,Normal Sale,196500
2-STORY 1946 & NEWER,Residential Low-Density,66,13682,Paved,No alley access,Moderately Irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Stone Brook,Normal,Single-family Detached,Two-story,Very Excellent,Average,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,1031,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,1410,1410,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1426,1519,2945,0,3,3,1,Good,10,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,3,641,Average/Typical,Paved,192,0,No,No,No,Oct,2006,Home just constructed and sold,Home was not completed when last assessed,438780
